"Title","Description","Date","Company","Image","ID","Created Date","Updated Date","Owner","PDF","Platform","Rich Content","Discipline","Software","REVCON","CADCON","SKPCON","PlatformColor","ADOBECON","365CON","Publish Date","Unpublish Date","Status"
"Curtain Creative Quarter - Container Gallery Concept","CAD01X AutoCAD, SKP01X Sketchup","2015","[""DC Design"",""Place Laboratory""]","wix:image://v1/691d3d_646314bf90e74a059eb12798236c489a~mv2.png/PS7.png#originWidth=1045&originHeight=685","03ca6850-1f5e-4a7a-9131-1f8c649302ce",2025-05-22T09:20:15Z,2025-11-20T16:15:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9",,"[""Sketchup"",""AutoCAD""]",,"[""General"",""Landscape""]",,"wix:vector://v1/691d3d_8c642c235eb14c21b91e39bc1282fd19.svg/revit-logo.svg","wix:vector://v1/691d3d_61bbf406f3294fd0bc5b14766195875a.svg/ACADICON-COLOR.svg","wix:vector://v1/691d3d_fb861bf8ee104220aca36a9d052c4e50.svg/sketchup%20icon.svg","#C60000","wix:vector://v1/691d3d_d0c5c339b1024ed0ba47c7603f67dcd4.svg/Creative_Cloud.svg","wix:vector://v1/691d3d_59e78ce05dc040d89a2352f364e87bc1.svg/office-2.svg",2025-05-22T09:41:54Z,,"PUBLISHED"
"Ampol (Caltex) Pump System Upgrades - Wyoming","CAD01X AutoCAD Project","2020-2021 ","[""Richmond+Ross""]","wix:image://v1/691d3d_2e039dde76e94bdb846dbec85ef8763f~mv2.jpg/UPSS%20WYOMING(C)_Page_3.jpg#originWidth=3309&originHeight=2339","12b81c79-7217-4885-bcf8-0be298a0dbe6",2025-05-22T09:08:51Z,2025-11-20T16:15:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9",,"[""AutoCAD""]",,"[""Architecture"",""General""]",,"wix:vector://v1/691d3d_8c642c235eb14c21b91e39bc1282fd19.svg/revit-logo.svg","wix:vector://v1/691d3d_61bbf406f3294fd0bc5b14766195875a.svg/ACADICON-COLOR.svg","wix:vector://v1/691d3d_fb861bf8ee104220aca36a9d052c4e50.svg/sketchup%20icon.svg","#C60000","wix:vector://v1/691d3d_d0c5c339b1024ed0ba47c7603f67dcd4.svg/Creative_Cloud.svg","wix:vector://v1/691d3d_59e78ce05dc040d89a2352f364e87bc1.svg/office-2.svg",2025-05-22T09:42:12Z,,"PUBLISHED"
"Ampol Highway Service Centre Redevelopment, Eastern Creek NSW","BIM01X Revit, CAD01X AutoCAD","2020-2021 ","[""Richmond+Ross""]","wix:image://v1/691d3d_9e496fb718c94873af1ca0213d3a99a6~mv2.png/004.PNG#originWidth=1463&originHeight=684","200c701d-1843-4b81-98c5-2b823cd22ad4",2025-05-08T16:42:46Z,2025-11-20T16:15:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9",,"[""Revit""]",,"[""Architecture"",""General""]","[""ab9663e7-566d-44c0-8a3d-56c64e86b234"",""d49997cf-e89f-4cad-ab3c-b486c2724bb9""]","wix:vector://v1/691d3d_8c642c235eb14c21b91e39bc1282fd19.svg/revit-logo.svg","wix:vector://v1/691d3d_61bbf406f3294fd0bc5b14766195875a.svg/ACADICON-COLOR.svg","wix:vector://v1/691d3d_fb861bf8ee104220aca36a9d052c4e50.svg/sketchup%20icon.svg","#000AC8","wix:vector://v1/691d3d_d0c5c339b1024ed0ba47c7603f67dcd4.svg/Creative_Cloud.svg","wix:vector://v1/691d3d_59e78ce05dc040d89a2352f364e87bc1.svg/office-2.svg",,,"PUBLISHED"
"Ampol (Caltex) Pump System Upgrades - North Richmond","CAD01X AutoCAD Project","2020-2021 ","[""Richmond+Ross""]","wix:image://v1/691d3d_7f19c161a1f9458e84d16f7ff16cef73~mv2.jpg/UPSS%20NORTH%20RICHMOND(C)_Page_4.jpg#originWidth=3309&originHeight=2339","23e99739-c0e9-4bdd-a878-29c7bb8759d8",2025-05-08T18:51:31Z,2025-11-20T16:15:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9",,"[""AutoCAD""]",,"[""Architecture"",""General""]",,"wix:vector://v1/691d3d_8c642c235eb14c21b91e39bc1282fd19.svg/revit-logo.svg","wix:vector://v1/691d3d_61bbf406f3294fd0bc5b14766195875a.svg/ACADICON-COLOR.svg","wix:vector://v1/691d3d_fb861bf8ee104220aca36a9d052c4e50.svg/sketchup%20icon.svg","#C60000","wix:vector://v1/691d3d_d0c5c339b1024ed0ba47c7603f67dcd4.svg/Creative_Cloud.svg","wix:vector://v1/691d3d_59e78ce05dc040d89a2352f364e87bc1.svg/office-2.svg",2025-05-22T09:42:26Z,,"PUBLISHED"
"Ampol (Caltex) Pump System Upgrades - Wyoming","CAD01X AutoCAD Project","2020-2021 ","[""Richmond+Ross""]","wix:image://v1/691d3d_34e419d903d64b9fa1e814dda06846dc~mv2.jpg/UPSS%20WYOMING(C)_Page_1.jpg#originWidth=6617&originHeight=4678","274cb235-be99-4b40-a470-957ed24f40a3",2025-05-22T09:08:53Z,2025-11-20T16:15:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9",,"[""AutoCAD""]",,"[""Architecture"",""General""]",,"wix:vector://v1/691d3d_8c642c235eb14c21b91e39bc1282fd19.svg/revit-logo.svg","wix:vector://v1/691d3d_61bbf406f3294fd0bc5b14766195875a.svg/ACADICON-COLOR.svg","wix:vector://v1/691d3d_fb861bf8ee104220aca36a9d052c4e50.svg/sketchup%20icon.svg","#C60000","wix:vector://v1/691d3d_d0c5c339b1024ed0ba47c7603f67dcd4.svg/Creative_Cloud.svg","wix:vector://v1/691d3d_59e78ce05dc040d89a2352f364e87bc1.svg/office-2.svg",2025-05-22T09:42:10Z,,"PUBLISHED"
"Cue Roadhouse Traffic Management","CAD01X AutoCAD Project","2016","[""DC Design""]","wix:image://v1/691d3d_640b6ccfee38485fbf57d1ccf92750f7~mv2.jpg/17402-GA002_B.jpg#originWidth=3309&originHeight=2339","4d5cb385-703f-41fe-9fa8-767a2cb45a7a",2025-05-22T09:14:01Z,2025-11-20T16:15:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9",,"[""AutoCAD""]",,"[""General"",""Urban Planning""]",,"wix:vector://v1/691d3d_8c642c235eb14c21b91e39bc1282fd19.svg/revit-logo.svg","wix:vector://v1/691d3d_61bbf406f3294fd0bc5b14766195875a.svg/ACADICON-COLOR.svg","wix:vector://v1/691d3d_fb861bf8ee104220aca36a9d052c4e50.svg/sketchup%20icon.svg","#C60000","wix:vector://v1/691d3d_d0c5c339b1024ed0ba47c7603f67dcd4.svg/Creative_Cloud.svg","wix:vector://v1/691d3d_59e78ce05dc040d89a2352f364e87bc1.svg/office-2.svg",2025-05-22T09:38:09Z,,"PUBLISHED"
"Curtain Creative Quarter - Container Gallery Concept ","CAD01X AutoCAD, SKP01X Sketchup","2015","[""DC Design"",""Place Laboratory""]","wix:image://v1/691d3d_bfdf81d2e3d34b079d5c58047627eeb7~mv2.jpg/CURTIN%20CREATIVE%20QUARTER%20-%20MISC%20DETAILS_Page_17.jpg#originWidth=3309&originHeight=2339","5ed97da6-f58f-4dab-8fa7-20882fa9e059",2025-05-22T09:24:37Z,2025-11-20T16:15:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9",,"[""Sketchup"",""AutoCAD""]",,"[""General"",""Landscape""]",,"wix:vector://v1/691d3d_8c642c235eb14c21b91e39bc1282fd19.svg/revit-logo.svg","wix:vector://v1/691d3d_61bbf406f3294fd0bc5b14766195875a.svg/ACADICON-COLOR.svg","wix:vector://v1/691d3d_fb861bf8ee104220aca36a9d052c4e50.svg/sketchup%20icon.svg","#C60000","wix:vector://v1/691d3d_d0c5c339b1024ed0ba47c7603f67dcd4.svg/Creative_Cloud.svg","wix:vector://v1/691d3d_59e78ce05dc040d89a2352f364e87bc1.svg/office-2.svg",2025-05-22T09:41:57Z,,"PUBLISHED"
"Curtain Creative Quarter - Outdoor Study Pod Concept","CAD01X AutoCAD, SKP01X Sketchup","2015","[""DC Design"",""Place Laboratory""]","wix:image://v1/691d3d_fee9e93f023542239b7511765ccb632b~mv2.png/PODAX3B.png#originWidth=1533&originHeight=903","66dbcada-523b-4dd8-8f40-ee65e9b44a09",2025-05-22T09:17:22Z,2025-11-20T16:15:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9",,"[""Sketchup"",""AutoCAD""]",,"[""General"",""Landscape""]",,"wix:vector://v1/691d3d_8c642c235eb14c21b91e39bc1282fd19.svg/revit-logo.svg","wix:vector://v1/691d3d_61bbf406f3294fd0bc5b14766195875a.svg/ACADICON-COLOR.svg","wix:vector://v1/691d3d_fb861bf8ee104220aca36a9d052c4e50.svg/sketchup%20icon.svg","#C60000","wix:vector://v1/691d3d_d0c5c339b1024ed0ba47c7603f67dcd4.svg/Creative_Cloud.svg","wix:vector://v1/691d3d_59e78ce05dc040d89a2352f364e87bc1.svg/office-2.svg",2025-05-22T09:38:44Z,,"PUBLISHED"
"Curtain Creative Quarter - Container Gallery Concept ","CAD01X AutoCAD, SKP01X Sketchup","2015","[""DC Design"",""Place Laboratory""]","wix:image://v1/691d3d_4f2ed81d4343428a985bf6e1d3c6a441~mv2.jpg/CURTIN%20CREATIVE%20QUARTER%20-%20MISC%20DETAILS_Page_16.jpg#originWidth=3309&originHeight=2339","6917908c-165f-4b84-93bd-7edb4aa80d3d",2025-05-22T09:25:19Z,2025-11-20T16:15:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9",,"[""Sketchup"",""AutoCAD""]",,"[""General"",""Landscape""]",,"wix:vector://v1/691d3d_8c642c235eb14c21b91e39bc1282fd19.svg/revit-logo.svg","wix:vector://v1/691d3d_61bbf406f3294fd0bc5b14766195875a.svg/ACADICON-COLOR.svg","wix:vector://v1/691d3d_fb861bf8ee104220aca36a9d052c4e50.svg/sketchup%20icon.svg","#C60000","wix:vector://v1/691d3d_d0c5c339b1024ed0ba47c7603f67dcd4.svg/Creative_Cloud.svg","wix:vector://v1/691d3d_59e78ce05dc040d89a2352f364e87bc1.svg/office-2.svg",2025-05-22T09:42:01Z,,"PUBLISHED"
"Ampol (Caltex) Pump System Upgrades - Wyoming","CAD01X AutoCAD Project","2020-2021 ","[""Richmond+Ross""]","wix:image://v1/691d3d_10f34accedb54ba6b7885554f893c0f0~mv2.jpg/UPSS%20WYOMING(C)_Page_4.jpg#originWidth=3309&originHeight=2339","69e0ea69-8c13-4846-a38c-af97e51f6ada",2025-05-22T09:08:16Z,2025-11-20T16:15:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9",,"[""AutoCAD""]",,"[""Architecture"",""General""]",,"wix:vector://v1/691d3d_8c642c235eb14c21b91e39bc1282fd19.svg/revit-logo.svg","wix:vector://v1/691d3d_61bbf406f3294fd0bc5b14766195875a.svg/ACADICON-COLOR.svg","wix:vector://v1/691d3d_fb861bf8ee104220aca36a9d052c4e50.svg/sketchup%20icon.svg","#C60000","wix:vector://v1/691d3d_d0c5c339b1024ed0ba47c7603f67dcd4.svg/Creative_Cloud.svg","wix:vector://v1/691d3d_59e78ce05dc040d89a2352f364e87bc1.svg/office-2.svg",2025-05-22T09:42:19Z,,"PUBLISHED"
