"ID","Created Date","Updated Date","Owner","Item Number","GlobalSortOrder","Item Heading","Item Body","LastRevised","TagFilters","Publish Date","Unpublish Date","Status"
"02896fb0-f8a1-4b4a-ab2f-c83979469319",2025-09-30T01:11:31Z,2025-09-30T04:34:08Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","11)",12,"Third-Party Services","We integrate payment providers, fulfilment partners (e.g., Printful), analytics, and embeds. Their terms and privacy practices apply when you use those services.
We embed a Discord server widget that can display basic live server details such as who’s online (members’ display names, avatars, and online status), along with server name/icon and an invite/join action. This content is provided directly by Discord and may change based on Discord’s features and your Discord privacy settings. We don’t control the availability or data shown by Discord. Use of the widget is also governed by Discord’s terms and privacy policy.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"08ab35e5-c281-4f0b-8ad8-53814ac49be2",2025-09-30T01:11:31Z,2025-09-30T04:34:29Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","17)",17,"Changes to These Terms","We may update these Terms by posting a notice on the site with a new “Last updated” date. Continued use constitutes acceptance.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"0adea8a6-ffd7-473d-a088-b85945742f6d",2025-09-30T01:11:31Z,2025-09-30T04:35:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","1)",20,"Overview","This Privacy Policy explains how Daniel Clancy Official™ (a product of Brainstream Media Group™) (based in Sydney, NSW, Australia) collects, uses, and safeguards personal information in connection with our podcasts, community features, memberships, and store.","2025-09-30","[""PRIVACY""]",,,"PUBLISHED"
"153bd5fe-79f5-4a8d-b9ba-504c29cfd2be",2025-09-30T01:11:31Z,2025-09-30T04:41:48Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","2)",40,"Standards & Measures","We aim to meet WCAG 2.2 Level AA where feasible and continuously improve. Measures include: ● Clear page structure and headings
● Keyboard-navigable interfaces and focus order
● Alt text for informative images
● Sufficient color contrast
● Reduced motion preferences honored where possible
● Captions/transcripts for media where feasible
● Descriptive links and labels
● Error feedback and form labels We use the platform’s accessibility tools and periodic audits to find and fix issues.","2025-09-30","[""ACCESS""]",,,"PUBLISHED"
"2a386146-8beb-4bcd-b009-26327b3f040e",2025-09-30T01:11:31Z,2025-09-30T04:28:43Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","5)",5,"Payments, Pricing & Taxes","We accept major payment methods supported by our platform and connected providers, which may include credit/debit cards, PayPal & Stripe. Where available, in-person payments may be processed via Wix POS hardware/software, and online payments via Wix Payments or other connected providers. Availability depends on region and provider approval. Displayed prices may exclude taxes, duties, or shipping until checkout. You’re responsible for any applicable taxes/fees in your jurisdiction.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"2df7e9b5-3bcd-43ee-8fc1-81d36c1af8bc",2025-09-30T01:11:31Z,2025-09-30T08:13:41Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","18)",18,"Governing Law & Venue","These Terms are governed by the laws and courts of the State of New South Wales, Australia.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"314c2e4f-ea9e-438e-a891-454c03e8c810",2025-09-30T01:11:31Z,2025-09-30T04:41:52Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","5)",43,"Feedback & Contact","If you encounter an accessibility barrier, need an alternative format, or have suggestions, please email support@Daniel Clancy Official™ (a product of Brainstream Media Group™).com. Please include the page URL and a brief description of the issue. We aim to respond within 5 business days.","2025-09-30","[""ACCESS""]",,,"PUBLISHED"
"33b592a2-fcd6-48ab-bed4-66b928338947",2025-09-30T01:11:31Z,2025-09-30T04:41:40Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","5)",37,"In-Person & Online Payments","Payments may be processed online (e.g., Wix Payments/PayPal) or in-person via Wix POS hardware/software where available. Refund eligibility and processing times can vary by payment method and region.","2025-09-30","[""REFUNDS""]",,,"PUBLISHED"
"35f716d3-717e-4b71-8e53-16a967f8f773",2025-09-30T01:11:31Z,2025-09-30T04:42:10Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","2)",34,"Merchandise (Print-On-Demand)","Most items are produced on demand by our fulfilment partner (e.g., Printful).
Order issues on arrival: If your order arrives damaged, misprinted, defective, or incorrect, contact support@Daniel Clancy Official™ (a product of Brainstream Media Group™).com within 30 days of delivery with photos and your order number. We’ll arrange a replacement or refund.
Size/fit or change-of-mind: Because products are made to order, we generally cannot accept returns or exchanges for size/fit or buyer’s remorse. Please check size charts carefully before ordering.
Return process: If a return is approved, we’ll provide instructions. Unauthorized returns may not be accepted.
Shipping costs: Original shipping is non-refundable unless the item was defective/incorrect.","2025-09-30","[""REFUNDS""]",,,"PUBLISHED"
"442d0d08-b65e-4397-a8de-25636db58da1",2025-09-30T01:11:31Z,2025-09-30T04:35:15Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","3)",22,"How We Use, Process, and Share Information","● Provide and improve the site, memberships, and store.
● Process orders and subscriptions, handle customer support, and send service notices.
● Personalize your experience and moderate community features.
● Comply with law, security, and fraud prevention.
● We use data to provide and improve the site, process orders/memberships, personalize content, and ensure security. We share limited data with service providers (e.g., payment processors, fulfillment, hosting, analytics) under appropriate safeguards. We do not sell personal information. You can contact us to exercise applicable privacy rights.","2025-09-30","[""PRIVACY""]",,,"PUBLISHED"
"480659b3-fb52-4134-a93d-290e1387f8c8",2025-09-30T01:11:31Z,2025-09-30T04:41:28Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","3)",35,"Digital Content & VIP Memberships","● Digital downloads/streams: All sales are final once access is granted, except where required by law.
● Memberships (recurring): You can cancel anytime; access continues through the paid-through date. We do not issue prorated refunds for the remaining period after cancellation unless required by law or if we materially fail to deliver the core membership features for the current term.
● Service disruptions: We may credit or extend access at our discretion for significant unplanned outages.","2025-09-30","[""REFUNDS""]",,,"PUBLISHED"
"4bf0d269-5eaa-43d3-91bd-c1bc40b2928d",2025-09-30T01:11:31Z,2025-09-30T04:34:34Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","19)",19,"Contact","● Support: support@danielclancy.net
● Webmaster: webmaster@brainstream.media
● General inquiries: info@danielclancy.net","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"5413d197-353d-49f5-8dcf-7b158a934dec",2025-09-30T01:11:31Z,2025-09-30T04:35:17Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","5)",24,"Data Retention","Account and transaction data is retained for the period necessary to provide services and meet legal obligations (e.g., tax). API-sourced livestreaming data is ephemeral and not archived.","2025-09-30","[""PRIVACY""]",,,"PUBLISHED"
"55a0ea0a-544c-4334-977e-efe9acbb2fd9",2025-09-30T01:11:31Z,2025-09-30T04:35:16Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","4)",23,"Payments & Providers","Depending on your region and our configuration, online payments may be processed via Wix Payments and/or PayPal; in-person payments (where offered) may be processed via Wix POS. Available methods typically include major cards and may include wallets or PayPal depending on region/provider. We do not sell your personal information.","2025-09-30","[""PRIVACY""]",,,"PUBLISHED"
"588746db-9daa-4a22-a036-b6a2e70d0214",2025-09-30T01:11:31Z,2025-09-30T04:35:19Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","6)",25,"Cookies & Tracking","We use strictly necessary cookies and, with consent, analytics/marketing cookies. Consent can be withdrawn via the banner settings. Some third-party widgets may set their own cookies subject to their policies. Embedded services (e.g., Discord) may use their own cookies or similar technologies to function; your consent choices apply to non-essential third-party cookies, but Discord’s processing is governed by its own policies.","2025-09-30","[""PRIVACY""]",,,"PUBLISHED"
"5abc03cf-d1ff-4ecb-997e-9e9ff214e674",2025-09-30T01:11:31Z,2025-09-30T04:34:29Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","16)",16,"Indemnity","You agree to defend, indemnify, and hold us harmless from claims arising out of your User Content, misuse of the site, or violation of these Terms or laws.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"7502b61b-7f26-4f5c-82dc-583056fc871a",2025-09-30T01:11:31Z,2025-09-30T04:38:03Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","11)",32,"Contact","● Privacy inquiries: privacy@danielclancy.net
● Support inquiries: support@danielclancy.net
● General inquiries: info@brainstream.media
● Webmaster: webmaster@brainstream.media","2025-09-30","[""PRIVACY""]",,,"PUBLISHED"
"76b6542e-0c99-4b40-875b-d788aac26465",2025-09-30T01:11:31Z,2025-09-30T04:38:20Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","1)",33,"Overview","This policy explains how refunds, returns, and cancellations work for Daniel Clancy Official™ (a product of Brainstream Media Group™) merchandise and digital/VIP offerings. Nothing here limits non-waivable consumer rights under applicable Ontario or Australian law (Copyright Act 1968 (Cth)).
Daniel Clancy Official™ (a product of Brainstream Media Group™) and Daniel Clancy Official™ (a product of Brainstream Media Group™) are trademarks of Shawn and Gina, respectively.","2025-09-30","[""REFUNDS""]",,,"PUBLISHED"
"7a22ac1d-448e-443a-87d7-2bc2c45cfee8",2025-09-30T01:11:31Z,2025-09-30T04:39:44Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","8)",29,"Security","We implement administrative, technical, and physical safeguards. Payment data is handled by PCI-compliant processors (e.g., Wix Payments/PayPal). We do not store full card numbers. The Discord widget is purely an embed; we do not store Discord widget display data.","2025-09-30","[""PRIVACY""]",,,"PUBLISHED"
"7fe1bcc6-b954-4359-8bc2-5cb3d6871354",2025-09-30T01:11:31Z,2025-09-30T04:28:43Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","8)",8,"User Content & Community Rules","You retain rights to content you submit (“User Content”), but grant us a worldwide, non-exclusive, royalty-free license to host, store, display, and share it on the site and our social channels solely to operate and promote Daniel Clancy Official™ (a product of Brainstream Media Group™).
You agree not to post anything unlawful, infringing, defamatory, harassing, hateful, or that violates privacy, IP, or platform rules. We may moderate, remove, or restrict content or accounts at our discretion.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"82f7d9a2-2b6c-4950-bfd3-23e478545550",2025-09-30T04:30:07Z,2025-09-30T04:37:07Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","8)",27,"Google Privacy Policy","For information on how Google handles data, please review the Google Privacy Policy: (http://www.google.com/policies/privacy).","2025-09-30","[""PRIVACY""]",2025-09-30T04:30:06Z,,"PUBLISHED"
"8a9a1098-b1c3-4b61-bc19-6671cc1d0509",2025-09-30T01:11:31Z,2025-09-30T08:01:22Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","1)",39,"Intro (Not Mapped)","We are committed to making Daniel Clancy Official™ accessible to people with disabilities. Our goal is for all visitors to browse, engage with content, purchase items, and participate in community features with comparable ease and enjoyment.

Daniel Clancy Official™ is a product of Brainstream Media Group™.
Daniel Clancy Official™ is a trademark owned by Daniel Clancy.","2025-09-30","[""ACCESS INTRO""]",,,"PUBLISHED"
"8c9179ef-aef5-4d1a-ac5c-c497b1a73d82",2025-09-30T01:11:31Z,2025-09-30T04:37:30Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","9)",30,"Children","Our services are not directed to children under the age where parental consent is required. Do not create an account or make purchases if you are under that age.","2025-09-30","[""PRIVACY""]",,,"PUBLISHED"
"99532d26-17fb-4638-8e5b-cd219c6dc404",2025-09-30T01:11:31Z,2025-09-30T04:34:29Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","13)",13,"Prohibited Use","You agree not to: (a) breach laws or rights, (b) attempt to access non-public areas, (c) interfere with security or operation, (d) use scraping that burdens the service, or (e) circumvent paywalls or DRM (Digital Rights Management).","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"a342d62f-3268-4965-8f01-afe8b01228bd",2025-09-30T01:11:31Z,2025-09-30T04:28:43Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","3)",3,"Eligibility & Accounts","You must be at least the age of majority in your place of residence to purchase paid offerings. You’re responsible for your login credentials and all activity under your account. We may suspend or terminate accounts for suspected abuse, infringement, payment issues, or safety concerns.","2025-09-30","[""TERMS""]",,,"PUBLISHED"
"a97759e0-ef5f-414a-b8a0-4cbb6bdbad45",2025-09-30T04:32:16Z,2025-09-30T04:34:12Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","12)",11,"Use of YouTube Services","By using features on this site that rely on YouTube API Services, you agree to be bound by the YouTube Terms of Service (https://www.youtube.com/t/terms) in addition to our Terms & Conditions. Your use of YouTube is also subject to the Google Privacy Policy (http://www.google.com/policies/privacy).","2025-09-30","[""TERMS""]",2025-09-30T04:30:06Z,,"PUBLISHED"
"ae4075d2-0996-402f-a721-815436fdbed0",2025-09-30T01:11:31Z,2025-09-30T04:37:25Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","7)",28,"Sharing","We share data with:
● Payment processors (to complete transactions)
● Fulfilment/logistics partners (to ship orders)
● Platform providers (Wix) and analytics vendors
● Professional advisors and authorities where required by law
● Discord (embedded widget). When the widget loads, Discord may process limited data to render the widget (e.g., usernames, avatars, presence) under Discord’s privacy policy and data controls. We do not ingest the widget’s display data into our systems.","2025-09-30","[""PRIVACY""]",,,"PUBLISHED"
"ae9be7cc-6979-4143-86cd-525d6fbacdbc",2025-09-30T01:11:31Z,2025-09-30T04:41:43Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","6)",38,"Request Support or a Refund","Email support@danielclancy.net with: ● Order number
● Item(s) and issue description
● Photos (for defective/damaged items) We’ll confirm next steps. Approved refunds are issued to the original payment method; processing times depend on your provider.","2025-09-30","[""REFUNDS""]",,,"PUBLISHED"
